SKU,qty,price,regular_price
13002500028,1,,2440
13002500075,1,,4740
13002500052,1,,9500
13002500048,1,,8260
13002500022,1,,2250
13002500021,1,,3900
13002500019,1,,4800
13002500018,1,,4800
13002500017,1,,3900
13002500004,1,,9400
1000101058,5,,23610
1000101125,3,,23610
1000101123,3,,23610
1000100990,4,,23650
1000100920,1,,6510
1000100835,1,11930,23850
1000101209,3,,23700
1000100834,6,,23610
1000100918,1,,5020
1000100833,3,,23610
1000100987,3,,102310
1000100832,17,,23830
1000100917,15,,7010
1000100916,4,,7000
1000100831,3,,23610
1000100830,1,,23630
1000100915,2,,7010
1000101124,4,,23610
1000100829,2,,23610
1000101122,2,,23610
10000700228,1,,89500
10000700226,1,,122180
10000700224,1,,120400
10000700212,1,,197300
10000700208,1,,497650
10000700207,1,,137800
10000700197,1,,425100
10000700196,1,,130600
10000700194,1,,535250
9002000023,1,,103900
9001600116,1,,389990
9001600278,1,,148900
9001600128,1,,244900
9001600286,1,,349990
9001600217,1,,249990
9001600188,1,,103900
9001600192,1,,124500
9001600076,1,,372900
9001600061,1,,349990
9001600067,1,,419990
9001600069,1,,499990
9001600083,1,,80900
9001600014,1,,124500
9002000015,1,,91900
9002000021,1,,62900
9002000026,1,,72900
9001600228,1,,138900
9001500133,1,,65900
9001600031,1,,102900
9001600163,1,,91900
9001600158,1,,62900
9001600169,1,,72900
9001600160,1,,65900
9001600148,1,,120000
9001600138,1,,129900
9001600052,1,,359990
9001600027,1,,309990
9001600019,1,,179990
9001600186,1,,103900
9001600033,1,,59990
9001600288,1,,109990
9001600065,1,,122900
9001600126,1,,145900
9001600030,1,,136900
9001600005,1,,165900
9001600205,1,,145900
9001600129,1,,109900
9002000017,1,,93900
9001600015,1,,71900
9002000016,1,,66900
9001600207,1,,166900
9001600200,1,,103900
9001600085,1,,85900
9001600090,1,,136900
9001600197,1,,109900
9001600181,1,,93900
9001600179,1,,72900
9001600089,1,,66900
9001600149,1,,96900
9001600048,1,,232990
9001600124,1,,66900
9002000020,1,,58900
9002000025,1,,81900
9002000019,1,,44900
9001600296,1,,53000
9001600007,1,,59000
9002000028,1,,49990
9001600088,1,,43900
9001600189,1,,81900
9001600008,1,,67900
5000400174,1,,789990
5000400323,1,,831300
5000400267,1,,409900
5000400252,1,,349900
5000400173,1,,389900
5000400101,3,,449900
5000400036,1,,469990
5000100071,1,,139900
5000100054,1,,149900
5001000050,3,,168900
5001000042,1,,164900
5001000047,1,,279900
5001000033,1,,334900
5001000022,8,,299900
5000500040,1,,84900
5000500044,1,,148900
5000500035,1,,134900
5000400119,6,799990,949900
9001700145,2,,214900
9001700138,4,,164900
9001700144,4,,132850
9001700090,1,,699900
31001000019,1,,18690
31001000018,46,,15580
31001000017,7,,12460
31001000015,60,,15470
31000900027,1,,22800
31000900021,1,,15580
31000900020,72,,12460
31000900019,19,,22640
13002500087,12,,15000
13002500086,80,,15000
13002500088,19,,15000
1000101376,2,,9100
1000101338,3,,30250
1000101337,1,,9100
1000101335,2,,30250
1000101353,1,,9100
1000101352,1,,30250
1000101351,6,,9100
1000101350,2,,30250
1000101386,1,,9100
1000101339,1,,30250
1000101385,1,,9100
31000900022,1,,18690
1000100948,1,,5510
1000100858,1,,17220
1000100933,8,,7770
1000101224,1,,7770
1000101073,6,,27310
1000100932,7,,7770
1000100849,5,,27310
1000100929,9,,7770
1000100846,3,,33250
1000100931,13,,7770
1000100848,20,,27310
1000100930,6,,7770
1000100850,5,,27310
1000101129,5,,27310
1000100845,5,,27310
1000100927,6,,7770
1000100844,5,,27310
1000101318,3,,7800
1000101059,2,,27310
1000101138,7,,7770
1000100843,7,,27310
1000100926,6,,7770
1000100842,6,,27310
1000100925,14,,7770
1000100841,18,,27310
1000100924,1,,7770
1000100840,2,,27310
1000101253,2,,7770
1000100839,1,,27310
1000100923,7,,7770
1000100851,18,,27310
1000100922,5,,7770
1000100838,10,,27310
1000101135,2,,7770
1000101130,6,,27310
1000101139,2,,7770
1000101106,3,,27310
1000100934,1,,6200
1000101114,1,70900,94500
1000100878,1,,20130
1000200359,4,,36300
1000200358,4,,36300
1000200379,3,,36230
1000200357,1,,36300
1000200356,3,,28100
1000101344,1,10750,21400
1000101363,1,,7750
1000101362,1,3900,7750
1000101310,3,,25450
1000101311,1,,7750
1000200353,4,,56000
1000200363,2,,55920
1000200352,4,,56000
1000200354,5,,56000
1000200374,1,,55950
1000200351,3,,56000
1000100985,1,39000,51900
1000100883,2,,13780
1000101439,1,,91900
1000101076,1,,23920
1000101249,3,,6840
1000100863,5,,23910
1000200433,1,,20850
1000200436,11,,5650
1000200425,2,,20850
1000200435,2,,5650
1000500604,3,,5890
1000500601,7,,20270
1000500598,5,,6000
1000500599,24,,20270
1000500606,4,,5890
1000500603,14,,20190
1000500607,8,,5890
1000500602,7,,20270
1000500605,3,,5890
1000500207,13,,6180
1000500208,20,,23130
1000500213,13,,6510
1000500214,17,,21970
1000500216,9,,6180
1000500217,17,,21970
1000500236,12,,6780
1000500269,6,,24050
1000500348,12,,6780
1000500349,35,,23150
1000500351,8,,6510
1000500350,15,,21970
1000500354,8,,6180
1000500355,13,,23150
1000500357,9,,6770
1000500358,29,,21970
1000100341,21,,30620
1000100340,11,,8460
1000100338,19,,30620
1000100337,12,,8910
1000100334,10,,8910
1000100335,13,,30620
1000100332,11,,30620
1000100331,5,,8910
1000100329,25,,30620
1000100328,9,,8910
1000100326,20,,32230
1000100325,12,,8910
1000100323,15,,30620
1000100322,8,,8460
1000100317,19,,30620
1000100316,7,,8910
1000100314,18,,30620
1000100296,7,,8770
1000100287,9,,8910
1000100269,40,,30620
1000100266,17,,8910
1000100285,7,,30620
1000100284,12,,8770
1000100229,12,,30620
1000100228,13,,8910
1000100249,19,,30620
1000100248,15,,8910
1000100245,19,,30620
1000100236,9,,8910
1000100211,11,,30620
1000100210,10,,8460
1000100214,1,,30620
1000100208,14,,30620
1000100207,5,,8460
1000101281,1,,8460
1000101283,3,,8460
1000101289,1,,8460
1000101275,2,,30650
1000101273,1,,8460
1000101274,4,,32250
1000101285,1,,8460
1000100595,1,,12760
1000100593,2,5810,12760
1000100591,2,,12760
1000100590,1,5810,12760
31001000021,34,,15470
1000100587,11,,12760
1000100545,5,,21310
1000100547,10,,21310
1000100542,14,,21310
1000100539,10,,23330
1000100538,8,,21310
1000100537,5,,21310
1000100536,6,,21310
1000100529,8,,23330
1000100530,9,,21310
1000100648,2,,113150
1000100528,5,,21310
1000100762,12,,6790
1000100535,8,,21310
1000100527,8,,21310
1000100518,1,,27030
1000100499,4,,7490
1000100550,9,,7480
1000100551,2,,25230
1000500513,2,,9200
1000500507,1,,9200
1000500508,1,,9200
1000500368,9,,31040
1000500363,8,,32670
1000500364,9,,32670
1000500511,1,,9200
1000500360,12,,32670
1000500362,12,,31040
1000500361,12,,32670
1000500366,13,,31040
1000500365,12,,31040
1000200117,6,,28360
1000200116,4,,28360
1000200115,6,,28360
1000200113,1,,28360
1000200118,7,,5510
1000200171,11,,5800
1000200124,12,,5390
1000200122,11,,5800
1000200157,9,,20210
1000200119,9,,18230
1000200181,9,,20210
1000200137,12,,19190
1000200123,11,,20210
1000100636,1,,134000
1000100662,12,,9110
1000100473,2,,31550
1000100472,36,,31550
1000100465,16,,31550
1000100462,8,,31550
1000100470,15,,31550
1000100446,3,,31550
1000100445,1,,31550
1000100430,8,,31550
1000100421,5,,31550
1000100416,4,,31550
1000100393,1,,31550
1000100389,4,,31550
1000100386,7,,31550
1000100380,24,,31550
1000100351,3,,31550
1000100469,5,,31550
1000100350,2,,31550
1000100349,7,12650,29170
1000100471,12,,31550
1000100348,4,13570,31300
1001300391,11,,1520
1001300392,56,,1520
1001300413,39,,1520
1001300388,66,,1520
1001300414,42,,1520
1001300387,79,,1520
1001300423,76,,1520
1001300417,91,,1520
1001300393,77,,1520
1001300384,160,,1520
1001300383,50,,1520
1001300303,77,,1520
1001300284,45,,1520
1001300382,65,,1520
1001300188,71,,18300
1001300190,37,,7920
1000200188,11,,24560
1000200205,5,,10210
1000200187,7,,8460
1000600100,12,,24530
1000500398,5,,7900
1000500396,6,,7650
9001400613,1,,25250
9001400527,2,,25800
9001400491,1,,7790
9001400244,2,,27900
9001400155,1,,23800
9001400022,5,,11740
9000700006,1,,90620
9000500089,6,,112500
9000500070,1,,90950
9000500053,1,,185540
9000500045,1,,158960
9000500010,1,,85150
9000500009,1,,48600
9001800008,2,,27780
9001800007,3,,17540
9001100013,2,,36150
9000300050,1,,44500
9000300049,2,,64500
9000300006,1,,30200
30000700073,18,,4800
9001400522,15,,5220
9000100567,1,,12600
9000100453,16,,4650
5001400019,1,,642990
4000100173,1,,519900
4000100169,1,,554990
4000100166,1,,309990
4000100126,1,,429900
4000100095,1,,266990
4000100075,1,,349900
4000100062,1,,289990
4000100061,1,,329990
4000100051,1,,544990
4000100049,1,,409990
4000100040,1,,589990
4000100006,1,,479990
4000100098,1,,649900
4000100080,1,,569990
4000100113,1,,399990
4000100070,1,,369900
4000200034,1,,484900
4000200053,1,,529990
4000200029,1,,529990
10000400470,1,,304100
10000400453,1,,74150
10000400446,1,,72050
10000400436,1,,98400
10000400431,1,,121350
10000400422,1,,209200
10000400421,1,,79100
10000400419,1,,50800
10000400416,1,,219400
10000400415,1,,162250
10000400293,1,,153900
10000400290,1,,915200
10000400283,1,,128400
10000400282,1,,63600
10000400264,1,,116900
10000400250,1,,249950
10000400234,1,,292600
10000400231,2,,115850
10000400229,1,,86300
10000400225,1,,252090
10000400221,2,,141800
10000400214,2,,129300
1000101118,1,,92000
10000400211,1,,82250
10000400210,1,,95200
10000400209,1,,151500
10000400207,1,,124950
10000400202,2,,74800
10000400167,1,,129500
10000400165,1,,144000
10000400161,1,,171900
10000400159,1,,318400
10000400148,1,,133700
10000400122,1,,199600
10000400121,1,,152100
10000400114,1,,109900
10000400089,1,,110600
10000400072,1,,646400
10000400071,1,,340200
10000400067,1,,728400
10000400066,1,,335700
10000400057,1,,160700
10000400051,1,,445500
10000400045,1,,142600
10000400060,1,,273100
5000900420,1,,52990
5000900526,1,24990,32990
5000900060,1,,42900
5000900497,1,27990,32990
5000400007,1,,26990
5000400009,1,,23990
5000400222,1,,49900
5000900362,1,16990,20900
5000900425,4,34990,41900
5000900303,1,,12900
5000900492,2,10990,11900
5000900013,1,,45900
5000900487,1,,25900
5000900159,1,21990,26900
5000900527,2,79990,92900
5000900206,1,89990,119990
5000900165,1,62990,69900
5000900490,1,64990,74990
5000900273,1,54990,65990
5000900070,1,109990,149990
5000900182,1,37990,49990
5000900505,1,,24900
5000900530,1,,21900
5000900539,1,16490,18900
5000900170,1,,12990
5000900062,1,25990,27900
5000900488,1,,32900
5000900162,1,11990,16990
5000900022,1,109990,159900
5000900188,20,34990,37900
5000900019,2,17990,22990
5000200003,1,,69900
5000200047,1,74990,92990
5000200069,1,42990,48990
5000900099,1,,64990
5000900023,2,,45000
5000900421,1,,74900
5000900103,1,,76900
5000900092,2,,69990
5000900496,3,,29990
5000900494,2,,21990
5000900148,4,,17990
5000900048,1,,69900
5000900101,6,,10990
5000900126,5,,29990
5000900098,4,,16990
5000900456,1,,9900
5000900408,5,,11490
5000900342,1,,23900
5000900316,2,,38990
5000900053,5,,39900
5000900495,5,,26000
5000900368,5,,29990
5000900139,4,,24990
5000900059,5,,15990
5000900435,1,,27990
5000900404,2,,23990
5000900152,1,,19900
5000900081,1,,39990
5000900016,1,,18900
5000900005,1,,24990
5000900498,3,,26900
5000900353,4,,29990
5000900120,4,,12990
5000900044,4,,9990
5000900009,1,,14990
5000900136,1,,22900
5000900395,1,,29990
5001100088,2,,182990
5001100067,2,,162990
5001100061,2,,144900
5001300177,1,,194990
5001000024,1,,139990
5000800118,1,,79900
5000800076,1,,69900
5000800176,1,,234990
5000800051,1,,234990
5000800037,1,,264990
5000800006,1,,214990
5000400013,1,,18990
5000400047,1,,79990
5000400122,1,,49990
5000400089,1,,34990
5000400168,1,,174990
5000400189,1,,139990
5000400077,1,,19990
5000400004,1,,18990
5000200046,2,,66990
5000200041,2,,59990
5000200023,1,,39900
5000200013,1,,69990
1000500397,7,,22650
1000500399,4,,24700
1000101250,12,,20100
1000500426,7,,41520
1000100962,5,,6840
1000100885,1,,12860
1000500600,7,,20270
1000200350,3,,56000
1000100847,1,,27310
1000100837,3,,23630
1000101277,4,,23500
1000200355,6,,28100
4000100008,1,,869990
4000100094,1,,239900
4000500051,1,,139990
1000100526,6,,21310
1000200112,2,,28360
1000200212,4,,32080
1000200156,4,,5510
3000600176,1,,10990
3000200264,1,,113500
3000200222,1,,95000
3000200221,1,,75800
3000200220,1,,60000
3000200219,1,,49500
3000200049,1,,14500
3000200163,1,,13500
3000200133,1,,10990
3000200113,1,,8990
3000700036,8,,3500
3000700079,1,,20500
3000700078,1,,17990
3000700022,2,,17600
3000700054,1,,15700
